     0          0.01248238
     1          0.04647305
     2          0.09137240
     3          0.12456203
     4          0.13554324
     5          0.12723953
     6          0.10720086
     7          0.08539612
     8          0.06670409
     9          0.05021335
    10          0.03780035
    11          0.02850006
    12          0.02168490
    13          0.01634567
    14          0.01221431
    15          0.00897861
    16          0.00689401
    17          0.00525408
    18          0.00374030
    19          0.00295187
    20          0.00217606
    21          0.00150432
    22          0.00112903
    23          0.00100288
    24          0.00066228
    25          0.00042890
    26          0.00037529
    27          0.00032168
    28          0.00019553
    29          0.00017976
    30          0.00012930
    31          0.00008200
    32          0.00006938
    33          0.00004731
    34          0.00003784
    35          0.00003469
    36          0.00001577
    37          0.00000946
    38          0.00000631
    39          0.00001577
    40          0.00000631
    41          0.00000946
    42          0.00000000
    43          0.00000315
    44          0.00000000
    45          0.00000000
    46          0.00000000
    47          0.00000631
